IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.121.23,2052,2052,false,SIN,Asia Pacific,Singapore,7,14.78
47.245.113.12,2052,2052,false,SIN,Asia Pacific,Singapore,5,14.77
8.219.215.214,2052,2052,false,SIN,Asia Pacific,Singapore,4,14.76
47.242.79.71,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,14.76
8.219.228.186,2052,2052,false,SIN,Asia Pacific,Singapore,10,14.75
47.74.26.132,2052,2052,false,NRT,Asia Pacific,Tokyo,76,14.74
8.218.146.204,2052,2052,false,HKG,Asia Pacific,Hong Kong,35,14.70
47.91.19.249,2052,2052,false,NRT,Asia Pacific,Tokyo,76,14.67
8.222.145.164,2052,2052,false,SIN,Asia Pacific,Singapore,11,14.67
8.218.52.115,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,14.66
47.74.16.255,2052,2052,false,NRT,Asia Pacific,Tokyo,74,14.64
8.219.121.87,2052,2052,false,SIN,Asia Pacific,Singapore,7,14.64
8.218.22.210,2052,2052,false,HKG,Asia Pacific,Hong Kong,33,14.63
8.222.190.225,2052,2052,false,SIN,Asia Pacific,Singapore,3,14.58
47.236.88.134,2052,2052,false,SIN,Asia Pacific,Singapore,8,14.58
8.218.2.181,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,14.56
47.74.22.171,2052,2052,false,NRT,Asia Pacific,Tokyo,76,14.51
47.74.15.120,2052,2052,false,NRT,Asia Pacific,Tokyo,76,14.43
47.245.113.117,2052,2052,false,SIN,Asia Pacific,Singapore,4,14.43
8.218.119.115,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,14.39
8.222.138.164,2052,2052,false,SIN,Asia Pacific,Singapore,4,14.38
8.218.8.142,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,14.38
8.222.210.182,2052,2052,false,SIN,Asia Pacific,Singapore,6,14.35
8.218.207.169,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,14.35
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,5,14.33
