IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.157.66.83,8880,0,false,ORD,North America,Chicago,263,0.00
35.182.47.71,80,0,false,ORD,North America,Chicago,241,0.00
18.191.164.46,2053,0,false,ORD,North America,Chicago,243,0.00
99.79.192.34,2083,0,false,ORD,North America,Chicago,240,0.00
15.157.67.69,2087,0,false,ORD,North America,Chicago,242,0.00
3.20.227.145,8880,0,false,ORD,North America,Chicago,244,0.00
13.59.67.104,2087,0,false,ORD,North America,Chicago,257,0.00
13.58.187.39,443,0,false,ORD,North America,Chicago,242,0.00
15.222.4.217,2052,0,false,ORD,North America,Chicago,258,0.00
13.58.187.39,80,0,false,ORD,North America,Chicago,252,0.00
13.59.67.104,2096,0,false,ORD,North America,Chicago,243,0.00
13.58.187.39,2086,0,false,ORD,North America,Chicago,263,0.00
13.59.67.104,2053,0,false,ORD,North America,Chicago,229,0.00
3.136.29.104,80,0,false,ORD,North America,Chicago,243,0.00
3.23.98.55,2082,0,false,ORD,North America,Chicago,239,0.00
18.219.26.245,8880,0,false,ORD,North America,Chicago,244,0.00
3.23.98.55,2086,0,false,ORD,North America,Chicago,239,0.00
35.183.34.14,2096,0,false,ORD,North America,Chicago,243,0.00
18.219.26.245,8443,0,false,ORD,North America,Chicago,240,0.00
13.59.66.73,8080,0,false,ORD,North America,Chicago,239,0.00
18.188.219.173,2087,0,false,ORD,North America,Chicago,243,0.00
3.23.98.55,80,0,false,ORD,North America,Chicago,260,0.00
35.182.219.21,80,0,false,ORD,North America,Chicago,271,0.00
15.222.4.217,8080,0,false,ORD,North America,Chicago,273,0.00
3.96.159.76,2087,0,false,ORD,North America,Chicago,240,0.00
3.23.98.55,8080,0,false,ORD,North America,Chicago,243,0.00
13.58.171.10,2096,0,false,ORD,North America,Chicago,243,0.00
15.157.66.83,80,0,false,ORD,North America,Chicago,275,0.00
3.20.227.145,2096,0,false,ORD,North America,Chicago,231,0.00
3.23.98.55,2096,0,false,ORD,North America,Chicago,248,0.00
35.183.34.14,2086,0,false,ORD,North America,Chicago,271,0.00
3.20.227.145,2086,0,false,ORD,North America,Chicago,253,0.00
3.96.159.76,80,0,false,ORD,North America,Chicago,256,0.00
15.157.67.174,2087,0,false,ORD,North America,Chicago,259,0.00
18.219.26.245,2086,0,false,ORD,North America,Chicago,223,0.00
99.79.51.87,2095,0,false,ORD,North America,Chicago,252,0.00
99.79.64.145,443,0,false,ORD,North America,Chicago,258,0.00
99.79.192.34,2087,0,false,ORD,North America,Chicago,250,0.00
99.79.51.87,2096,0,false,ORD,North America,Chicago,275,0.00
13.58.187.39,2083,0,false,ORD,North America,Chicago,238,0.00
99.79.192.34,2053,0,false,ORD,North America,Chicago,259,0.00
13.59.168.13,2083,0,false,ORD,North America,Chicago,258,0.00
99.79.192.34,2082,0,false,ORD,North America,Chicago,240,0.00
13.58.187.39,2087,0,false,ORD,North America,Chicago,242,0.00
99.79.192.34,2095,0,false,ORD,North America,Chicago,255,0.00
99.79.51.87,8443,0,false,ORD,North America,Chicago,263,0.00
13.58.171.10,80,0,false,ORD,North America,Chicago,258,0.00
99.79.51.87,80,0,false,ORD,North America,Chicago,263,0.00
18.188.219.173,2082,0,false,ORD,North America,Chicago,223,0.00
18.223.25.15,80,0,false,ORD,North America,Chicago,243,0.00
18.188.219.173,2083,0,false,ORD,North America,Chicago,246,0.00
13.58.171.10,8080,0,false,ORD,North America,Chicago,243,0.00
13.58.187.39,2082,0,false,ORD,North America,Chicago,226,0.00
3.141.217.225,80,0,false,ORD,North America,Chicago,228,0.00
35.182.219.21,2086,0,false,ORD,North America,Chicago,281,0.00
3.96.190.161,2053,0,false,ORD,North America,Chicago,264,0.00
13.58.171.10,443,0,false,ORD,North America,Chicago,257,0.00
15.156.205.90,2052,0,false,ORD,North America,Chicago,260,0.00
3.96.159.76,2052,0,false,ORD,North America,Chicago,270,0.00
15.156.197.64,2082,0,false,ORD,North America,Chicago,280,0.00
35.182.219.21,443,0,false,ORD,North America,Chicago,258,0.00
99.79.192.34,8080,0,false,ORD,North America,Chicago,248,0.00
15.156.197.64,2087,0,false,ORD,North America,Chicago,262,0.00
35.182.219.21,2052,0,false,ORD,North America,Chicago,251,0.00
15.156.205.90,2083,0,false,ORD,North America,Chicago,275,0.00
15.156.205.90,2086,0,false,ORD,North America,Chicago,254,0.00
15.157.30.77,80,0,false,ORD,North America,Chicago,262,0.00
15.156.205.90,80,0,false,ORD,North America,Chicago,255,0.00
15.157.67.69,2095,0,false,ORD,North America,Chicago,259,0.00
15.156.197.8,443,0,false,ORD,North America,Chicago,243,0.00
15.157.67.174,2082,0,false,ORD,North America,Chicago,255,0.00
3.96.190.161,443,0,false,ORD,North America,Chicago,240,0.00
15.156.197.8,2086,0,false,ORD,North America,Chicago,240,0.00
15.156.205.90,8080,0,false,ORD,North America,Chicago,256,0.00
15.156.197.8,8080,0,false,ORD,North America,Chicago,278,0.00
15.157.67.69,8443,0,false,ORD,North America,Chicago,275,0.00
3.96.190.161,2096,0,false,ORD,North America,Chicago,257,0.00
3.96.159.76,8880,0,false,ORD,North America,Chicago,239,0.00
99.79.51.87,443,0,false,ORD,North America,Chicago,240,0.00
15.157.67.174,8080,0,false,ORD,North America,Chicago,260,0.00
13.58.187.39,2095,0,false,ORD,North America,Chicago,239,0.00
15.156.205.90,443,0,false,ORD,North America,Chicago,261,0.00
3.96.92.88,80,0,false,ORD,North America,Chicago,247,0.00
15.156.205.90,2082,0,false,ORD,North America,Chicago,256,0.00
15.156.197.64,443,0,false,ORD,North America,Chicago,255,0.00
99.79.192.34,2086,0,false,ORD,North America,Chicago,244,0.00
15.156.205.90,2053,0,false,ORD,North America,Chicago,240,0.00
3.96.159.76,2082,0,false,ORD,North America,Chicago,256,0.00
15.157.67.174,2095,0,false,ORD,North America,Chicago,275,0.00
15.222.4.217,2087,0,false,ORD,North America,Chicago,243,0.00
18.219.26.245,2083,0,false,ORD,North America,Chicago,243,0.00
35.182.219.21,8443,0,false,ORD,North America,Chicago,248,0.00
15.157.66.83,2053,0,false,ORD,North America,Chicago,262,0.00
99.79.51.87,8880,0,false,ORD,North America,Chicago,260,0.00
15.156.197.64,2053,0,false,ORD,North America,Chicago,261,0.00
15.157.67.69,2096,0,false,ORD,North America,Chicago,263,0.00
15.157.66.83,2096,0,false,ORD,North America,Chicago,258,0.00
15.156.205.90,8880,0,false,ORD,North America,Chicago,276,0.00
15.157.66.83,2052,0,false,ORD,North America,Chicago,241,0.00
35.182.219.21,2087,0,false,ORD,North America,Chicago,246,0.00
15.156.197.64,2083,0,false,ORD,North America,Chicago,240,0.00
15.156.197.8,2083,0,false,ORD,North America,Chicago,262,0.00
3.20.227.145,2053,0,false,ORD,North America,Chicago,223,0.00
15.222.4.217,2082,0,false,ORD,North America,Chicago,255,0.00
3.23.98.55,8443,0,false,ORD,North America,Chicago,258,0.00
35.183.34.14,2087,0,false,ORD,North America,Chicago,240,0.00
15.156.197.64,80,0,false,ORD,North America,Chicago,260,0.00
15.157.67.69,2082,0,false,ORD,North America,Chicago,262,0.00
99.79.51.87,2086,0,false,ORD,North America,Chicago,254,0.00
15.157.67.69,2052,0,false,ORD,North America,Chicago,240,0.00
15.157.67.69,8880,0,false,ORD,North America,Chicago,260,0.00
15.156.197.64,8443,0,false,ORD,North America,Chicago,255,0.00
3.20.227.145,2087,0,false,ORD,North America,Chicago,239,0.00
15.157.67.174,2052,0,false,ORD,North America,Chicago,259,0.00
35.183.34.14,443,0,false,ORD,North America,Chicago,256,0.00
35.182.219.21,2096,0,false,ORD,North America,Chicago,271,0.00
15.156.24.206,80,0,false,ORD,North America,Chicago,262,0.00
99.79.64.145,8443,0,false,ORD,North America,Chicago,243,0.00
3.96.190.161,2082,0,false,ORD,North America,Chicago,260,0.00
13.59.168.13,80,0,false,ORD,North America,Chicago,226,0.00
15.156.205.90,2087,0,false,ORD,North America,Chicago,258,0.00
15.157.66.83,8443,0,false,ORD,North America,Chicago,243,0.00
15.157.67.69,8080,0,false,ORD,North America,Chicago,259,0.00
15.222.4.217,8443,0,false,ORD,North America,Chicago,243,0.00
15.156.197.8,8443,0,false,ORD,North America,Chicago,254,0.00
3.98.231.179,80,0,false,ORD,North America,Chicago,244,0.00
18.219.26.245,2096,0,false,ORD,North America,Chicago,244,0.00
13.59.67.104,443,0,false,ORD,North America,Chicago,254,0.00
35.182.219.21,2053,0,false,ORD,North America,Chicago,245,0.00
3.97.167.115,80,0,false,ORD,North America,Chicago,258,0.00
