IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
185.133.35.172,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.68
8.219.163.195,2082,2082,false,SIN,Asia Pacific,Singapore,2,10.68
167.68.5.6,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.68
204.93.210.194,2082,2082,false,SIN,Asia Pacific,Singapore,2,10.68
89.117.112.10,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.68
104.129.167.9,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.67
160.123.255.101,2082,2082,false,SIN,Asia Pacific,Singapore,7,10.67
77.75.199.61,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.67
93.113.175.141,2082,2082,false,SIN,Asia Pacific,Singapore,2,10.67
104.129.167.177,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.67
204.93.210.3,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.66
104.129.166.82,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.66
141.11.202.169,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.66
204.93.210.101,2082,2082,false,SIN,Asia Pacific,Singapore,2,10.66
160.123.255.6,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.66
79.99.30.61,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.66
63.141.128.176,2082,2082,false,SIN,Asia Pacific,Singapore,0,10.66
192.200.160.153,2082,2082,false,SIN,Asia Pacific,Singapore,0,10.66
212.183.88.8,2082,2082,false,SIN,Asia Pacific,Singapore,5,10.66
217.163.76.148,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.66
62.72.166.63,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.65
45.67.215.29,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.65
14.102.229.2,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.65
104.129.166.158,2082,0,false,SIN,Asia Pacific,Singapore,1,10.65
194.76.18.108,2082,2082,false,SIN,Asia Pacific,Singapore,1,10.65
154.219.5.224,2082,2082,false,SIN,Asia Pacific,Singapore,3,10.65
154.92.9.198,2082,2082,false,SIN,Asia Pacific,Singapore,5,10.64
167.68.11.16,2082,2082,false,SIN,Asia Pacific,Singapore,7,10.64
